Ticker,Sector,Industry
A,Healthcare,Diagnostics & Research
AAL,Industrials,Airlines
AAP,Consumer Cyclical,Specialty Retail
AAPL,Technology,Consumer Electronics
ABBV,Healthcare,Drug Manufacturers—General
ABC,Healthcare,Medical Distribution
ABMD,Healthcare,Medical Devices
ABT,Healthcare,Medical Devices
ACN,Technology,Information Technology Services
ADBE,Technology,Software—Infrastructure
ADI,Technology,Semiconductors
ADM,Consumer Defensive,Farm Products
ADP,Industrials,Staffing & Employment Services
ADSK,Technology,Software—Application
AEE,Utilities,Utilities—Regulated Electric
AEP,Utilities,Utilities—Regulated Electric
AES,Utilities,Utilities—Diversified
AJG,Financial Services,Insurance Brokers
AKAM,Technology,Software—Infrastructure
ALB,Basic Materials,Specialty Chemicals
ALGN,Healthcare,Medical Devices
ALK,Industrials,Airlines
ALLE,Industrials,Security & Protection Services
AMAT,Technology,Semiconductor Equipment & Materials
AMD,Technology,Semiconductors
AME,Industrials,Specialty Industrial Machinery
AMGN,Healthcare,Drug Manufacturers—General
AMP,Financial Services,Asset Management
AMT,Real Estate,REIT—Specialty
AMZN,Consumer Cyclical,Internet Retail
ANET,Technology,Computer Hardware
ANSS,Technology,Software—Application
AON,Financial Services,Insurance Brokers
AOS,Industrials,Specialty Industrial Machinery
APA,Energy,Oil & Gas E&P
APD,Basic Materials,Specialty Chemicals
APH,Technology,Electronic Components
APTV,Consumer Cyclical,Auto Parts
ARE,Real Estate,REIT—Office
ATO,Utilities,Utilities—Regulated Gas
ATVI,Communication Services,Electronic Gaming & Multimedia
AVB,Real Estate,REIT—Residential
AVY,Industrials,Business Equipment & Supplies
AWK,Utilities,Utilities—Regulated Water
AZO,Consumer Cyclical,Specialty Retail
BA,Industrials,Aerospace & Defense
BAX,Healthcare,Medical Instruments & Supplies
BBWI,Consumer Cyclical,Specialty Retail
BBY,Consumer Cyclical,Specialty Retail
BDX,Healthcare,Medical Instruments & Supplies
BEN,Financial Services,Asset Management
BIIB,Healthcare,Drug Manufacturers—General
BIO,Healthcare,Medical Devices
BKNG,Consumer Cyclical,Travel Services
BKR,Energy,Oil & Gas Equipment & Services
BLK,Financial Services,Asset Management
BMY,Healthcare,Drug Manufacturers—General
BR,Technology,Information Technology Services
BRO,Financial Services,Insurance Brokers
BSX,Healthcare,Medical Devices
BWA,Consumer Cyclical,Auto Parts
BXP,Real Estate,REIT—Office
CAG,Consumer Defensive,Packaged Foods
CAH,Healthcare,Medical Distribution
CARR,Industrials,Building Products & Equipment
CAT,Industrials,Farm & Heavy Construction Machinery
CBOE,Financial Services,Financial Data & Stock Exchanges
CBRE,Real Estate,Real Estate Services
CCI,Real Estate,REIT—Specialty
CCL,Consumer Cyclical,Travel Services
CDAY,Technology,Software—Application
CDNS,Technology,Software—Application
CDW,Technology,Information Technology Services
CE,Basic Materials,Chemicals
CF,Basic Materials,Agricultural Inputs
CHD,Consumer Defensive,Household & Personal Products
CHRW,Industrials,Integrated Freight & Logistics
CHTR,Communication Services,Entertainment
CL,Consumer Defensive,Household & Personal Products
CLX,Consumer Defensive,Household & Personal Products
CMCSA,Communication Services,Entertainment
CME,Financial Services,Financial Data & Stock Exchanges
CMG,Consumer Cyclical,Restaurants
CMI,Industrials,Specialty Industrial Machinery
CMS,Utilities,Utilities—Regulated Electric
CNC,Healthcare,Healthcare Plans
CNP,Utilities,Utilities—Regulated Electric
COP,Energy,Oil & Gas E&P
COST,Consumer Defensive,Discount Stores
CPB,Consumer Defensive,Packaged Foods
CPT,Real Estate,REIT—Residential
CRL,Healthcare,Diagnostics & Research
CRM,Technology,Software—Application
CSCO,Technology,Communication Equipment
CSX,Industrials,Railroads
CTAS,Industrials,Specialty Business Services
CTLT,Healthcare,Drug Manufacturers—Specialty & Generic
CTSH,Technology,Information Technology Services
CTVA,Basic Materials,Agricultural Inputs
CTXS,Technology,Software—Application
CVS,Healthcare,Healthcare Plans
CVX,Energy,Oil & Gas Integrated
CZR,Consumer Cyclical,Resorts & Casinos
D,Utilities,Utilities—Regulated Electric
DAL,Industrials,Airlines
DD,Basic Materials,Specialty Chemicals
DE,Industrials,Farm & Heavy Construction Machinery
DG,Consumer Defensive,Discount Stores
DGX,Healthcare,Diagnostics & Research
DHR,Healthcare,Diagnostics & Research
DIS,Communication Services,Entertainment
DLTR,Consumer Defensive,Discount Stores
DOV,Industrials,Specialty Industrial Machinery
DOW,Basic Materials,Chemicals
DPZ,Consumer Cyclical,Restaurants
DRE,Real Estate,REIT—Industrial
DRI,Consumer Cyclical,Restaurants
DTE,Utilities,Utilities—Regulated Electric
DVA,Healthcare,Medical Care Facilities
DVN,Energy,Oil & Gas E&P
DXCM,Healthcare,Medical Devices
EA,Communication Services,Electronic Gaming & Multimedia
EBAY,Consumer Cyclical,Internet Retail
ECL,Basic Materials,Specialty Chemicals
ED,Utilities,Utilities—Regulated Electric
EFX,Industrials,Consulting Services
EIX,Utilities,Utilities—Regulated Electric
EL,Consumer Defensive,Household & Personal Products
EMN,Basic Materials,Chemicals
EMR,Industrials,Specialty Industrial Machinery
ENPH,Technology,Solar
EOG,Energy,Oil & Gas E&P
EPAM,Technology,Information Technology Services
EQIX,Real Estate,REIT—Specialty
EQR,Real Estate,REIT—Residential
ES,Utilities,Utilities—Regulated Electric
ESS,Real Estate,REIT—Residential
ETN,Industrials,Specialty Industrial Machinery
ETR,Utilities,Utilities—Regulated Electric
ETSY,Consumer Cyclical,Internet Retail
EVRG,Utilities,Utilities—Regulated Electric
EW,Healthcare,Medical Devices
EXPD,Industrials,Integrated Freight & Logistics
EXPE,Consumer Cyclical,Travel Services
EXR,Real Estate,REIT—Industrial
F,Consumer Cyclical,Auto Manufacturers
FANG,Energy,Oil & Gas E&P
FAST,Industrials,Industrial Distribution
FBHS,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
FCX,Basic Materials,Copper
FDS,Financial Services,Financial Data & Stock Exchanges
FDX,Industrials,Integrated Freight & Logistics
FE,Utilities,Utilities—Regulated Electric
FFIV,Technology,Software—Infrastructure
FIS,Technology,Information Technology Services
FISV,Technology,Information Technology Services
FLT,Technology,Software—Infrastructure
FMC,Basic Materials,Agricultural Inputs
FOX,Communication Services,Broadcasting
FTV,Technology,Scientific & Technical Instruments
GD,Industrials,Aerospace & Defense
GE,Industrials,Specialty Industrial Machinery
GILD,Healthcare,Drug Manufacturers—General
GIS,Consumer Defensive,Packaged Foods
GLW,Technology,Electronic Components
GM,Consumer Cyclical,Auto Manufacturers
GNRC,Industrials,Specialty Industrial Machinery
GOOG,Communication Services,Internet Content & Information
GPC,Consumer Cyclical,Specialty Retail
GPN,Industrials,Specialty Business Services
GRMN,Technology,Scientific & Technical Instruments
GWW,Industrials,Industrial Distribution
HAL,Energy,Oil & Gas Equipment & Services
HAS,Consumer Cyclical,Leisure
HCA,Healthcare,Medical Care Facilities
HD,Consumer Cyclical,Home Improvement Retail
HES,Energy,Oil & Gas E&P
HII,Industrials,Aerospace & Defense
HLT,Consumer Cyclical,Lodging
HOLX,Healthcare,Medical Instruments & Supplies
HON,Industrials,Conglomerates
HPE,Technology,Communication Equipment
HPQ,Technology,Computer Hardware
HSIC,Healthcare,Medical Distribution
HST,Real Estate,REIT—Hotel & Motel
HSY,Consumer Defensive,Confectioners
HWM,Industrials,Specialty Industrial Machinery
IBM,Technology,Information Technology Services
ICE,Financial Services,Financial Data & Stock Exchanges
IDXX,Healthcare,Diagnostics & Research
IEX,Industrials,Specialty Industrial Machinery
IFF,Basic Materials,Specialty Chemicals
ILMN,Healthcare,Diagnostics & Research
INCY,Healthcare,Biotechnology
INTC,Technology,Semiconductors
INTU,Technology,Software—Application
IP,Consumer Cyclical,Packaging & Containers
IPG,Communication Services,Advertising Agencies
IPGP,Technology,Semiconductor Equipment & Materials
IQV,Healthcare,Diagnostics & Research
IRM,Real Estate,REIT—Specialty
ISRG,Healthcare,Medical Instruments & Supplies
IT,Technology,Information Technology Services
ITW,Industrials,Specialty Industrial Machinery
IVZ,Financial Services,Asset Management
J,Industrials,Engineering & Construction
JBHT,Industrials,Integrated Freight & Logistics
JCI,Industrials,Engineering & Construction
JKHY,Technology,Information Technology Services
JNJ,Healthcare,Drug Manufacturers—General
JNPR,Technology,Communication Equipment
K,Consumer Defensive,Packaged Foods
KEYS,Technology,Scientific & Technical Instruments
KHC,Consumer Defensive,Packaged Foods
KIM,Real Estate,REIT—Retail
KLAC,Technology,Semiconductor Equipment & Materials
KMB,Consumer Defensive,Household & Personal Products
KMI,Energy,Oil & Gas Midstream
KMX,Consumer Cyclical,Auto & Truck Dealerships
KO,Consumer Defensive,Beverages—Non-Alcoholic
KR,Consumer Defensive,Grocery Stores
LEN,Consumer Cyclical,Residential Construction
LH,Healthcare,Diagnostics & Research
LHX,Industrials,Aerospace & Defense
LIN,Basic Materials,Specialty Chemicals
LKQ,Consumer Cyclical,Auto Parts
LLY,Healthcare,Drug Manufacturers—General
LMT,Industrials,Aerospace & Defense
LNT,Utilities,Utilities—Regulated Electric
LRCX,Technology,Semiconductor Equipment & Materials
LUMN,Communication Services,Telecom Services
LUV,Industrials,Airlines
LVS,Consumer Cyclical,Resorts & Casinos
LW,Consumer Defensive,Packaged Foods
LYB,Basic Materials,Specialty Chemicals
LYV,Communication Services,Entertainment
MA,Financial Services,Credit Services
MAA,Real Estate,REIT—Residential
MAR,Consumer Cyclical,Lodging
MAS,Industrials,Building Products & Equipment
MCD,Consumer Cyclical,Restaurants
MCHP,Technology,Semiconductors
MCK,Healthcare,Medical Distribution
MCO,Financial Services,Financial Data & Stock Exchanges
MDLZ,Consumer Defensive,Confectioners
MDT,Healthcare,Medical Devices
MGM,Consumer Cyclical,Resorts & Casinos
MHK,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
MKC,Consumer Defensive,Packaged Foods
MKTX,Financial Services,Capital Markets
MLM,Basic Materials,Building Materials
MMM,Industrials,Conglomerates
MNST,Consumer Defensive,Beverages—Non-Alcoholic
MO,Consumer Defensive,Tobacco
MOH,Healthcare,Healthcare Plans
MOS,Basic Materials,Agricultural Inputs
MPC,Energy,Oil & Gas Refining & Marketing
MPWR,Technology,Semiconductors
MRK,Healthcare,Drug Manufacturers—General
MRNA,Healthcare,Biotechnology
MRO,Energy,Oil & Gas E&P
MSCI,Financial Services,Financial Data & Stock Exchanges
MSFT,Technology,Software—Infrastructure
MSI,Technology,Communication Equipment
MTCH,Communication Services,Internet Content & Information
MTD,Healthcare,Diagnostics & Research
MU,Technology,Semiconductors
NCLH,Consumer Cyclical,Travel Services
NDAQ,Financial Services,Financial Data & Stock Exchanges
NDSN,Industrials,Specialty Industrial Machinery
NEE,Utilities,Utilities—Regulated Electric
NEM,Basic Materials,Gold
NFLX,Communication Services,Entertainment
NI,Utilities,Utilities—Regulated Gas
NKE,Consumer Cyclical,Footwear & Accessories
NLOK,Technology,Software—Infrastructure
NLSN,Industrials,Consulting Services
NOC,Industrials,Aerospace & Defense
NOW,Technology,Software—Application
NRG,Utilities,Utilities—Independent Power Producers
NSC,Industrials,Railroads
NTAP,Technology,Computer Hardware
NUE,Basic Materials,Steel
NVDA,Technology,Semiconductors
NWL,Consumer Defensive,Household & Personal Products
NWS,Communication Services,Broadcasting
O,Real Estate,REIT—Retail
ODFL,Industrials,Trucking
OGN,Healthcare,Drug Manufacturers—General
OKE,Energy,Oil & Gas Midstream
OMC,Communication Services,Advertising Agencies
ORCL,Technology,Software—Infrastructure
ORLY,Consumer Cyclical,Specialty Retail
OTIS,Industrials,Specialty Industrial Machinery
PAYC,Technology,Software—Application
PAYX,Industrials,Staffing & Employment Services
PEAK,Real Estate,REIT—Healthcare Facilities
PEG,Utilities,Utilities—Diversified
PEP,Consumer Defensive,Beverages—Non-Alcoholic
PFE,Healthcare,Drug Manufacturers—General
PG,Consumer Defensive,Household & Personal Products
PH,Industrials,Specialty Industrial Machinery
PHM,Consumer Cyclical,Residential Construction
PKG,Consumer Cyclical,Packaging & Containers
PLD,Real Estate,REIT—Industrial
PM,Consumer Defensive,Tobacco
PNW,Utilities,Utilities—Regulated Electric
POOL,Consumer Cyclical,Leisure
PPG,Basic Materials,Specialty Chemicals
PPL,Utilities,Utilities—Regulated Electric
PSX,Energy,Oil & Gas Refining & Marketing
PTC,Technology,Software—Application
PVH,Consumer Cyclical,Apparel Manufacturing
PWR,Industrials,Engineering & Construction
PXD,Energy,Oil & Gas E&P
PYPL,Financial Services,Credit Services
QCOM,Technology,Semiconductors
QRVO,Technology,Semiconductors
RCL,Consumer Cyclical,Travel Services
RE,Financial Services,Insurance—Reinsurance
REGN,Healthcare,Biotechnology
RHI,Industrials,Staffing & Employment Services
RL,Consumer Cyclical,Apparel Manufacturing
RMD,Healthcare,Medical Instruments & Supplies
ROK,Industrials,Specialty Industrial Machinery
ROL,Consumer Cyclical,Personal Services
ROP,Industrials,Specialty Industrial Machinery
ROST,Consumer Cyclical,Apparel Retail
RSG,Industrials,Waste Management
RTX,Industrials,Aerospace & Defense
SBAC,Real Estate,REIT—Specialty
SBUX,Consumer Cyclical,Restaurants
SEDG,Technology,Solar
SEE,Consumer Cyclical,Packaging & Containers
SHW,Basic Materials,Specialty Chemicals
SJM,Consumer Defensive,Packaged Foods
SLB,Energy,Oil & Gas Equipment & Services
SNA,Industrials,Tools & Accessories
SNPS,Technology,Software—Infrastructure
SO,Utilities,Utilities—Regulated Electric
SPGI,Financial Services,Financial Data & Stock Exchanges
SRE,Utilities,Utilities—Diversified
STE,Healthcare,Medical Devices
STX,Technology,Computer Hardware
STZ,Consumer Defensive,Beverages—Wineries & Distilleries
SWK,Industrials,Tools & Accessories
SWKS,Technology,Semiconductors
SYK,Healthcare,Medical Devices
SYY,Consumer Defensive,Food Distribution
T,Communication Services,Telecom Services
TAP,Consumer Defensive,Beverages—Brewers
TDG,Industrials,Aerospace & Defense
TDY,Technology,Scientific & Technical Instruments
TECH,Healthcare,Biotechnology
TEL,Technology,Electronic Components
TER,Technology,Semiconductor Equipment & Materials
TFX,Healthcare,Medical Instruments & Supplies
TGT,Consumer Defensive,Discount Stores
TJX,Consumer Cyclical,Apparel Retail
TMO,Healthcare,Diagnostics & Research
TMUS,Communication Services,Telecom Services
TRMB,Technology,Scientific & Technical Instruments
TROW,Financial Services,Asset Management
TSCO,Consumer Cyclical,Specialty Retail
TSLA,Consumer Cyclical,Auto Manufacturers
TSN,Consumer Defensive,Farm Products
TT,Industrials,Specialty Industrial Machinery
TTWO,Communication Services,Electronic Gaming & Multimedia
TWTR,Communication Services,Internet Content & Information
TXN,Technology,Semiconductors
TXT,Industrials,Aerospace & Defense
TYL,Technology,Software—Application
UAL,Industrials,Airlines
UDR,Real Estate,REIT—Residential
UHS,Healthcare,Medical Care Facilities
UNH,Healthcare,Healthcare Plans
UNP,Industrials,Railroads
UPS,Industrials,Integrated Freight & Logistics
URI,Industrials,Rental & Leasing Services
V,Financial Services,Credit Services
VFC,Consumer Cyclical,Apparel Manufacturing
VICI,Real Estate,REIT—Diversified
VLO,Energy,Oil & Gas Refining & Marketing
VMC,Basic Materials,Building Materials
VNO,Real Estate,REIT—Office
VRSN,Technology,Software—Infrastructure
VRTX,Healthcare,Biotechnology
VTR,Real Estate,REIT—Healthcare Facilities
VTRS,Healthcare,Drug Manufacturers—Specialty & Generic
VZ,Communication Services,Telecom Services
WAB,Industrials,Railroads
WAT,Healthcare,Diagnostics & Research
WBA,Healthcare,Pharmaceutical Retailers
WDC,Technology,Computer Hardware
WEC,Utilities,Utilities—Regulated Electric
WELL,Real Estate,REIT—Healthcare Facilities
WHR,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
WM,Industrials,Waste Management
WMB,Energy,Oil & Gas Midstream
WMT,Consumer Defensive,Discount Stores
WRK,Consumer Cyclical,Packaging & Containers
WST,Healthcare,Medical Instruments & Supplies
WTW,Financial Services,Insurance Brokers
WY,Real Estate,REIT—Specialty
WYNN,Consumer Cyclical,Resorts & Casinos
XEL,Utilities,Utilities—Regulated Electric
XOM,Energy,Oil & Gas Integrated
XRAY,Healthcare,Medical Instruments & Supplies
XYL,Industrials,Specialty Industrial Machinery
YUM,Consumer Cyclical,Restaurants
ZBH,Healthcare,Medical Devices
ZBRA,Technology,Communication Equipment
ZTS,Healthcare,Drug Manufacturers—Specialty & Generic
